city_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Guerrero Negro,MX,27.98,-114.06,66.85,59,11,17.0,few clouds
312,Dejen,ET,10.17,38.13,64.44,26,60,5.53,broken clouds
313,Camopi,GF,3.17,-52.32,81.19,88,62,3.69,heavy intensity rain
314,Palana,RU,59.12,159.97,35.31,86,88,2.59,overcast clouds
315,Naranjito,EC,-2.22,-79.48,81.43,60,55,0.56,broken clouds
316,Huilong,CN,31.81,121.66,73.04,87,98,9.86,light rain
317,Whitehorse,CA,60.72,-135.05,52.0,46,75,17.27,broken clouds
318,Chara,RU,56.91,118.26,43.9,86,87,1.63,light rain
319,Hovd,MN,48.01,91.64,48.69,38,1,2.13,clear sky
320,Lata,PT,40.16,-8.33,73.35,64,9,3.8,clear sky
321,Hohhot,CN,40.81,111.65,64.69,34,0,9.55,clear sky
322,Thinadhoo,MV,0.53,72.93,83.43,72,23,18.21,few clouds
323,Poenari,RO,45.32,24.65,51.94,91,95,5.01,overcast clouds
324,Surt,LY,31.21,16.59,71.1,73,6,11.23,clear sky
325,Novyy Urgal,RU,51.07,132.56,45.66,91,100,1.39,overcast clouds
326,Olden,NO,61.84,6.81,70.27,57,6,4.88,clear sky
327,Williams Lake,CA,52.14,-122.14,60.37,50,75,1.01,broken clouds
328,Kovur,IN,14.48,79.98,90.18,53,97,12.55,overcast clouds
329,Atikokan,CA,48.76,-91.62,62.64,61,72,9.42,broken clouds
330,Yulara,AU,-25.24,130.99,55.24,41,100,11.5,overcast clouds
331,Oranjemund,NA,-28.55,16.43,56.07,89,0,9.6,clear sky
332,Taian,CN,36.19,117.12,68.43,64,22,5.01,few clouds
333,Walvis Bay,NA,-22.96,14.51,56.08,94,1,8.75,clear sky
334,Katsuura,JP,35.13,140.30,66.31,79,0,12.84,clear sky
335,Walcz,PL,53.28,16.47,53.11,59,22,7.96,few clouds
336,Camana,PE,-16.62,-72.71,68.72,78,100,9.66,overcast clouds
337,Barra Do Garcas,BR,-15.89,-52.26,91.98,43,20,4.81,few clouds
338,Paamiut,GL,61.99,-49.67,35.58,89,23,20.94,few clouds
339,Mecca,SA,21.43,39.83,91.92,34,70,4.21,broken clouds
340,Esperance,AU,-33.87,121.90,53.6,100,90,18.41,overcast clouds
341,Jiaozuo,CN,35.24,113.23,71.94,42,12,4.81,light rain
342,Tromso,NO,69.65,18.96,43.45,87,75,3.0,light rain
343,Constantine,DZ,36.37,6.61,73.4,53,75,11.5,broken clouds
344,Kenora,CA,49.82,-94.43,63.57,63,75,12.66,broken clouds
345,Uruzgan,AF,32.83,66.00,75.29,12,0,5.79,clear sky
346,Chenzhou,CN,25.80,113.03,71.58,99,100,1.77,overcast clouds
347,Wukari,NG,7.85,9.78,83.93,66,37,5.1,scattered clouds
